ID,Verified,Item Description,Item Type,Status,Alphabetical Sort,AutoFillVerified,AutoFillVerified1,Created,Created By,ItemDescriptionHTMLEncoded,Location,Modified,Modified By,Relationship,Title,Verification Source,Verified Alternates,VerifiedAlternatesHTMLEncoded,VerifiedHTMLEncoded,Encoded Absolute URL,Item Type1,Path,URL Path,Workflow Instance ID,Comments,File Type
408,"Aasen, Greg","chief strategy officer, PMC-Sierra Ltd. [2006]",1;#People,,"Aasen, Greg",,,9/13/2011,LASS\DKerr,"chief strategy officer, PMC-Sierra Ltd. [2006]",,6/20/2013,System Account,,"Aasen, Greg",People List,,,"Aasen, Greg",,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/408_.000;#408,,,
409,Ab Roller,proprietary exercise device [2006],4;#Brand Names,,AbRoller,,,9/13/2011,LASS\DKerr,proprietary exercise device [2006],,12/15/2014,"Mattison, David",,Ab Roller,VList,,<div></div>,Ab Roller,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/409_.000;#409,,,
410,"Abassi, Dominic","offensive lineman, Vancouver Island Raiders [2006]",1;#People,,"Abassi, Dominic",,,9/13/2011,LASS\DKerr,"offensive lineman, Vancouver Island Raiders [2006]",,6/20/2013,System Account,,"Abassi, Dominic",People List,,,"Abassi, Dominic",,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/410_.000;#410,,,
411,"Abassi, Hadi","president/CEO, Vancouver Island Raiders [2006]",1;#People,,"Abassi, Hadi",,,9/13/2011,LASS\DKerr,"president/CEO, Vancouver Island Raiders [2006]",,6/20/2013,System Account,,"Abassi, Hadi",People List,,,"Abassi, Hadi",,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/411_.000;#411,,,
412,ABBA,Swedish pop music group [2010],7;#Organizations,,ABBA,,,9/13/2011,LASS\DKerr,Swedish pop music group [2010],,6/20/2013,System Account,,ABBA,VList,,,ABBA,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/412_.000;#412,,,
413,Abbey Ridge,Surrey-Port Kells neighbourhood [2003],14;#Places,,Abbey Ridge,,,9/13/2011,LASS\DKerr,"<div class=""ExternalClassF11BB1885AC24A0EAFB34D1AFFCBB71D"">Surrey-Port Kells neighbourhood [2003]</div>",,6/20/2013,System Account,,Abbey Ridge,VList,,,"<div class=""ExternalClass82A043C0E463440ABB848A9CC43F36E2"">Abbey Ridge</div>",,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/413_.000;#413,,,
414,Abbeyfield House,original Abbeyfield project in England; acceptable as a reference to any similar housing development of an Abbeyfield society [2003],7;#Organizations,,Abbeyfield House,,,9/13/2011,LASS\DKerr,original Abbeyfield project in England; acceptable as a reference to any similar housing development of an Abbeyfield society [2003],,6/20/2013,System Account,,Abbeyfield House,VList,,,Abbeyfield House,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/414_.000;#414,,,
415,Abbeyfield Houses Alberni Valley Society,mandated to provide affordable and supportive housing for elderly people [2003],7;#Organizations,,Abbeyfield Houses Alberni Valley Society,,,9/13/2011,LASS\DKerr,mandated to provide affordable and supportive housing for elderly people [2003],,6/20/2013,System Account,,Abbeyfield Houses Alberni Valley Society,VList,,,Abbeyfield Houses Alberni Valley Society,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/415_.000;#415,,,
417,"Abbotsford Cultural Centre, Museum and Art Gallery",[2007],6;#Places:Physical infrastructure:Buildings ? landmarks,,"Abbotsford Cultural Centre, Museum and Art Gallery",,,9/13/2011,LASS\DKerr,[2007],,6/20/2013,System Account,,"Abbotsford Cultural Centre, Museum and Art Gallery",VList,,,"Abbotsford Cultural Centre, Museum and Art Gallery",,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/417_.000;#417,,,
418,Abbotsford Cycling Action Group,[2010],7;#Organizations,,Abbotsford Cycling Action Group,,,9/13/2011,LASS\DKerr,[2010],,6/20/2013,System Account,,Abbotsford Cycling Action Group,VList,,,Abbotsford Cycling Action Group,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/418_.000;#418,,,
419,Abbotsford Entertainment and Sports Centre,[2010],6;#Places:Physical infrastructure:Buildings ? landmarks,,Abbotsford Entertainment and Sports Centre,,,9/13/2011,LASS\DKerr,[2010],,6/20/2013,System Account,,Abbotsford Entertainment and Sports Centre,VList,,,Abbotsford Entertainment and Sports Centre,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/419_.000;#419,,,
420,Abbotsford Hawks,bantam triple-A hockey team [2009],7;#Organizations,,Abbotsford Hawks,,,9/13/2011,LASS\DKerr,bantam triple-A hockey team [2009],,6/20/2013,System Account,,Abbotsford Hawks,VList,,,Abbotsford Hawks,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/420_.000;#420,,,
421,Abbotsford Heat,AHL team [2010],7;#Organizations,,Abbotsford Heat,,,9/13/2011,LASS\DKerr,AHL team [2010],,6/20/2013,System Account,,Abbotsford Heat,VList,,,Abbotsford Heat,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/421_.000;#421,,,
422,Abbotsford Hospice Society,[2008],51;#Organizations:Health sector organizations,,Abbotsford Hospice Society,,,9/13/2011,LASS\DKerr,[2008],,6/20/2013,System Account,,Abbotsford Hospice Society,VList,,,Abbotsford Hospice Society,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/422_.000;#422,,,
423,Abbotsford Hospital,defunct; replaced by Abbotsford Regional Hospital Cancer Centre [2011],51;#Organizations:Health sector organizations,,Abbotsford Hospital,,,9/13/2011,LASS\DKerr,defunct; replaced by Abbotsford Regional Hospital Cancer Centre [2011],,6/20/2013,System Account,,Abbotsford Hospital,VList,,,Abbotsford Hospital,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/423_.000;#423,,,
424,Abbotsford Hospital and Cancer Centre Inc.,organization responsible for the proposed centre [2005ns],51;#Organizations:Health sector organizations,,Abbotsford Hospital and Cancer Centre Inc.,,,9/13/2011,LASS\DKerr,organization responsible for the proposed centre [2005ns],,6/20/2013,System Account,,Abbotsford Hospital and Cancer Centre Inc.,VList,,,Abbotsford Hospital and Cancer Centre Inc.,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/424_.000;#424,,,
425,Abbotsford International Air Show,[2007],13;#Events ? Awards,,AbbotsfordInternational Air Show,,,9/13/2011,LASS\DKerr,[2007],,12/12/2017,"Mattison, David",,Abbotsford International Air Show,VList,,<div></div>,Abbotsford International Air Show,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/425_.000;#425,,,
426,Abbotsford International Airport (YXX),[2005ns],44;#Places:Transportation Infrastructure:Airports,,AbbotsfordInternational Airport (YXX),,,9/13/2011,LASS\DKerr,[2005ns],,10/23/2014,"Baer, Richard",,Abbotsford International Airport (YXX),VList,,<div></div>,Abbotsford International Airport (YXX),,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/426_.000;#426,,,
427,Abbotsford Minor Hockey Association,[2010],7;#Organizations,,Abbotsford Minor Hockey Association,,,9/13/2011,LASS\DKerr,[2010],,6/20/2013,System Account,,Abbotsford Minor Hockey Association,VList,,,Abbotsford Minor Hockey Association,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/427_.000;#427,,,
428,Abbotsford police department,[2011],7;#Organizations,,Abbotsford police department,,,9/13/2011,LASS\DKerr,[2011],,6/20/2013,System Account,,Abbotsford police department,VList,,,Abbotsford police department,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/428_.000;#428,,,
429,Abbotsford Skating Club,[2010],7;#Organizations,,Abbotsford Skating Club,,,9/13/2011,LASS\DKerr,[2010],,6/20/2013,System Account,,Abbotsford Skating Club,VList,,,Abbotsford Skating Club,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/429_.000;#429,,,
430,Abbotsford South,"B.C. electoral riding, 2009 [2009]",14;#Places,,Abbotsford South,,,9/13/2011,LASS\DKerr,"B.C. electoral riding, 2009 [2009]",,6/20/2013,System Account,,Abbotsford South,VList,,,Abbotsford South,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/430_.000;#430,,,
431,Abbotsford Symphony Orchestra Society,[2006],7;#Organizations,,Abbotsford Symphony Orchestra Society,,,9/13/2011,LASS\DKerr,[2006],,6/20/2013,System Account,,Abbotsford Symphony Orchestra Society,VList,,,Abbotsford Symphony Orchestra Society,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/431_.000;#431,,,
432,Abbotsford West,"B.C. electoral riding, 2009 [2009]",14;#Places,,Abbotsford West,,,9/13/2011,LASS\DKerr,"B.C. electoral riding, 2009 [2009]",,6/20/2013,System Account,,Abbotsford West,VList,,,Abbotsford West,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/432_.000;#432,,,
433,Abbotsford-Matsqui Foundation,[2007],7;#Organizations,,Abbotsford-Matsqui Foundation,,,9/13/2011,LASS\DKerr,[2007],,6/20/2013,System Account,,Abbotsford-Matsqui Foundation,VList,,,Abbotsford-Matsqui Foundation,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/433_.000;#433,,,
434,Abbotsford-Mission,"B.C. electoral riding, 2009 [2009]",14;#Places,,Abbotsford-Mission,,,9/13/2011,LASS\DKerr,"B.C. electoral riding, 2009 [2009]",,6/20/2013,System Account,,Abbotsford-Mission,VList,,,Abbotsford-Mission,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/434_.000;#434,,,
435,Abbotsford-Mission highway,Highway 11 [2008],45;#Places:Transportation Infrastructure:Highways ? Roads,,Abbotsford-Mission highway,,,9/13/2011,LASS\DKerr,Highway 11 [2008],,6/20/2013,System Account,,Abbotsford-Mission highway,VList,,,Abbotsford-Mission highway,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/435_.000;#435,,,
436,Abbott and Costello,comedy duo [2008],48;#Works,,Abbott and Costello,,,9/13/2011,LASS\DKerr,comedy duo [2008],,6/20/2013,System Account,,Abbott and Costello,VList,,,Abbott and Costello,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/436_.000;#436,,,
437,"Abbott, Bob",MLA George Abbott's brother [2007],1;#People,,"Abbott, Bob",,,9/13/2011,LASS\DKerr,MLA George Abbott's brother [2007],,6/20/2013,System Account,,"Abbott, Bob",People List,,,"Abbott, Bob",,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/437_.000;#437,,,
438,"Abbott, Brant",MLA George Abbott's son [2007],1;#People,,"Abbott, Brant",,,9/13/2011,LASS\DKerr,MLA George Abbott's son [2007],,6/20/2013,System Account,,"Abbott, Brant",People List,,,"Abbott, Brant",,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/438_.000;#438,,,
439,"Abbott, Colleen",citizen on wait list for foot treatment [2006],1;#People,,"Abbott, Colleen",,,9/13/2011,LASS\DKerr,citizen on wait list for foot treatment [2006],,6/20/2013,System Account,,"Abbott, Colleen",People List,,,"Abbott, Colleen",,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/439_.000;#439,,,
440,"Abbott, George","Liberal MLA, Shuswap; former Minister of Education; former Minister of Health; former Minister of Aboriginal Relations and Reconciliation",37;#People:MLAs ? elected officials,,"Abbott, George",,,9/13/2011,LASS\DKerr,"Liberal MLA, Shuswap;&nbsp;former Minister of Education; former Minister of Health; former Minister of Aboriginal Relations and Reconciliation",,4/9/2018,LASS\EPedersen,mom Irene; grandson Raiden,"Abbott, George",plist,,<div></div>,"Abbott, George",,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/440_.000;#440,,ALT Chapman OR Maureen OR Maurine,
441,"Abbott, Janice","director, Atira Women's Resource Society [2004]",1;#People,,"Abbott, Janice",,,9/13/2011,LASS\DKerr,"director, Atira Women's Resource Society [2004]",,6/20/2013,System Account,,"Abbott, Janice",People List,,,"Abbott, Janice",,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/441_.000;#441,,,
442,"Abbott, Jim (James)",MP for Kootenay-Columbia (Conservative Party of Canada) [2004],1;#People,,"Abbott, Jim (James)",,,9/13/2011,LASS\DKerr,MP for Kootenay-Columbia (Conservative Party of Canada) [2004],,6/20/2013,System Account,,"Abbott, Jim (James)",People List,,,"Abbott, Jim (James)",,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/442_.000;#442,,,
443,"Abbott, Lesley",MLA George Abbott's wife [2007],1;#People,,"Abbott, Lesley",,,9/13/2011,LASS\DKerr,MLA George Abbott's wife [2007],,6/20/2013,System Account,,"Abbott, Lesley",People List,,,"Abbott, Lesley",,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/443_.000;#443,,,
444,"Abbott, Megan",MLA George Abbott's daughter [2007],1;#People,,"Abbott, Megan",,,9/13/2011,LASS\DKerr,MLA George Abbott's daughter [2007],,6/20/2013,System Account,,"Abbott, Megan",People List,,,"Abbott, Megan",,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/444_.000;#444,,,
445,"Abbott, Wade",MLA George Abbott's son [2007],1;#People,,"Abbott, Wade",,,9/13/2011,LASS\DKerr,MLA George Abbott's son [2007],,6/20/2013,System Account,,"Abbott, Wade",People List,,,"Abbott, Wade",,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/445_.000;#445,,,
446,ABC Canada Literacy Foundation,[2006],7;#Organizations,,ABC Canada Literacy Foundation,,,9/13/2011,LASS\DKerr,[2006],,6/20/2013,System Account,,ABC Canada Literacy Foundation,VList,,,ABC Canada Literacy Foundation,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/446_.000;#446,,,
447,ABC Developmental Learning Centres Pty Ltd.,[2008],7;#Organizations,,ABC Developmental Learning Centres Pty Ltd.,,,9/13/2011,LASS\DKerr,[2008],,6/20/2013,System Account,,ABC Developmental Learning Centres Pty Ltd.,VList,,,ABC Developmental Learning Centres Pty Ltd.,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/447_.000;#447,,,
448,ABC Learning Centres Ltd.,[2007],7;#Organizations,,ABC Learning Centres Ltd.,,,9/13/2011,LASS\DKerr,[2007],,6/20/2013,System Account,,ABC Learning Centres Ltd.,VList,,,ABC Learning Centres Ltd.,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/448_.000;#448,,,
449,ABC Metals Inc.,[2010],7;#Organizations,,ABC Metals Inc.,,,9/13/2011,LASS\DKerr,[2010],,6/20/2013,System Account,,ABC Metals Inc.,VList,,,ABC Metals Inc.,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/449_.000;#449,,,
450,ABC National Safety Excellence Award,awarded to companies with exemplary safety performance and programs [2008],13;#Events ? Awards,,ABC National Safety Excellence Award,,,9/13/2011,LASS\DKerr,awarded to companies with exemplary safety performance and programs [2008],,6/20/2013,System Account,,ABC National Safety Excellence Award,VList,,,ABC National Safety Excellence Award,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/450_.000;#450,,,
452,"Abd-El-Aziz, Alaa (Dr.)","chair, academic council, UBC Okanagan [2007]",1;#People,,"Abd-El-Aziz, Alaa (Dr.)",,,9/13/2011,LASS\DKerr,"chair, academic council, UBC Okanagan [2007]",,6/20/2013,System Account,,"Abd-El-Aziz, Alaa (Dr.)",People List,,,"Abd-El-Aziz, Alaa (Dr.)",,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/452_.000;#452,,,
453,AbeBooks Inc.,Victoria-based online bookseller [2009 39th1st],7;#Organizations,,AbeBooks Inc.,,,9/13/2011,LASS\DKerr,Victoria-based online bookseller [2009 39th1st],,6/20/2013,System Account,,AbeBooks Inc.,VList,,,AbeBooks Inc.,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/453_.000;#453,,,
454,"Abel, Diane","negotiations and implementation director, Treaty 8 Tribal Association [2010]",35;#People:First Nations leaders ? officials ? councillors ? elders,,"Abel, Diane",,,9/13/2011,LASS\DKerr,"negotiations and implementation director, Treaty 8 Tribal Association [2010]",,6/20/2013,System Account,,"Abel, Diane",People List,,,"Abel, Diane",,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/454_.000;#454,,,
455,"Abella, Rosalie Silberman (Justice)",with the Supreme Court of Canada [2007],1;#People,,"Abella, Rosalie Silberman (Justice)",,,9/13/2011,LASS\DKerr,with the Supreme Court of Canada [2007],,6/20/2013,System Account,,"Abella, Rosalie Silberman (Justice)",People List,,,"Abella, Rosalie Silberman (Justice)",,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/455_.000;#455,,,
456,Abercrombie and Fitch,clothing store [2006],7;#Organizations,,Abercrombie and Fitch,,,9/13/2011,LASS\DKerr,clothing store [2006],,6/20/2013,System Account,,Abercrombie and Fitch,VList,,,Abercrombie and Fitch,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/456_.000;#456,,,
457,"Abercrombie, Todd","executive director, capital region chapter, Multiple Sclerosis Society of Canada [2008]",1;#People,,"Abercrombie, Todd",,,9/13/2011,LASS\DKerr,"executive director, capital region chapter, Multiple Sclerosis Society of Canada [2008]",,6/20/2013,System Account,,"Abercrombie, Todd",People List,,,"Abercrombie, Todd",,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/457_.000;#457,,,
458,Aberdeen Centre,"multicultural shopping centre, Richmond [2006]",6;#Places:Physical infrastructure:Buildings ? landmarks,,Aberdeen Centre,,,9/13/2011,LASS\DKerr,"multicultural shopping centre, Richmond [2006]",,6/20/2013,System Account,,Aberdeen Centre,VList,,,Aberdeen Centre,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/458_.000;#458,,,
459,Aberdeen Hospital,through VIHA [2009],51;#Organizations:Health sector organizations,,Aberdeen Hospital,,,9/13/2011,LASS\DKerr,through VIHA [2009],,6/20/2013,System Account,,Aberdeen Hospital,VList,,,Aberdeen Hospital,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/459_.000;#459,,,
